                 文献类型                                         全部作者                                                                                                                               作者单位                                                                标题                 来源                                                                                           关键字                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                摘要    年份
0     Journal Article                        吕心言;刘琦;李彦奇;任萌;谭笑;林爱军;                                                                                                                      北京化工大学化学工程学院;                                 土壤微塑料污染领域研究现状和发展趋势—基于Cite space分析               地学前缘                                                                  土壤;微塑料;可视化分析;知识图谱;Cite space                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      为了进一步了解土壤微塑料领域的研究现状和发展趋势，本文收集整理了Web of Science核心数据库和中国知网（CNKI）中2000年至2023年6月1日关于土壤微塑料领域的研究成果。利用Cite space软件在发文数量、高被引文章、作者、国家地区、发文机构、关键词等方面进行综合分析。结果表明：（1）在2017年后关于土壤微塑料的研究热度持续增长，发文量增长，在2020年后快速增长。（2）中国是发文量最多的国家，且发文量前四的机构均来自中国，但在起步阶段此领域主要是国外机构发文；中国虽然起步较慢但发展迅速，已经成为土壤微塑料研究领域具有较大影响力的重要国家。（3）从关键词分析判断，当下的研究热点有农田土壤微塑料污染、寻找高效微生物进行生物修复、探究微塑料在土壤及其他环境中的迁移途径和寻找更快速准确的微塑料识别方法等方面。（4）对于未来研究热点的预测有对覆膜农田土壤污染特性的研究、微塑料丰度与分布的测定和微塑料识别与机器学习的结合应用等方面。      
1     Journal Article                                     付宇超;乔玉成;                                                                                                                长治学院体育系;西安翻译学院体育学院;                                      体育举国体制改革研究30年：主题演进、前沿热点与未来趋势           广州体育学院学报                                                                         体育举国体制;改革;主题;前沿;热点;趋势                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            为系统性梳理我国体育举国体制改革研究进展与演进历程，以1993—2022年687篇“北大核心”、CSSCI、CSCD期刊论文作为研究样本，综合运用COOC、VOSviewer等知识图谱工具，从时间分布、作者分布等方面探究我国体育举国体制改革的研究现状，并从主题演进、前沿热点、未来趋势等3方面探究体育举国体制改革研究概况。结果发现：(1)我国体育举国体制改革研究兴起于1993年，可划分为萌芽期（1993-2000年）、稳步增长期（2001—2010年）、缓慢波动下降期（2011-2020年）、再次增长期（2021至今）4个阶段。各阶段发文量存在显著差异，其波动起伏与30年来国内重大体育事件紧密相关。(2)研究主题主要围绕着“竞技体育”的“制度”“管理体制”和“奥运争光计划”“奥运战略”而展开，研究的焦点主要集中在社会主义市场经济体制条件下体育举国体制的“废”与“存”，“坚持”与“完善”，“改革”“创新”与“可持续发展”。(3)热点转换紧跟“奥运争光计划”“全民健身”“体育强国”等国家战略以及党和国家有关部门颁布的相关文件，政策导向性明显。(4)未来研究将围绕“加快建设体育强国”“中国特色体育发展之路”“中国式体育现代化”的“新型举国体制”等前沿热点展开。      
2     Journal Article                             田晓旭;毕新华;杨一毫;李彩宁;                                                                                                                       吉林大学商学与管理学院;                                             短视频个性化推荐与使用意愿的倒U形关系研究               现代情报                                                          短视频;个性化推荐;使用意愿;倒U形;隐私计算理论;短视频类型;隐私关注                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [目的/意义]个性化推荐在促进信息系统使用方面具有积极作用，但过度的个性化推荐也会造成用户的隐私忧虑以致降低使用意愿。短视频情境下，个性化推荐与使用意愿之间的具体关系目前还不清楚。[方法/过程]基于隐私计算理论，探索短视频个性化推荐与用户使用意愿之间的非线性关系。划分短视频类型并选取实用型短视频、享乐型短视频和隐私关注作为调节变量。运用层次回归分析的方法，应用Stata软件对假设进行验证。[结果/结论]个性化推荐与短视频使用意愿之间存在倒U形关系；隐私关注对倒U形关系存在显著的调节作用；不同类型短视频对倒U形关系的影响存在差异，且仅有实用型短视频的调节作用得到验证。      
3     Journal Article                                 裴俊良;周晓英;张素萍;                                                                          中国人民大学信息资源管理学院;中国人民大学公共卫生与疾病预防控制交叉学科平台;山西医科大学汾阳学院卫生信息管理系;                                          健康信息替代搜寻行为的类型、过程、特征和模型研究               现代情报                                                                          健康信息替代搜寻;健康信息搜寻;替代搜寻                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [目的/意义]旨在探讨健康信息替代搜寻行为的类型、过程和特征并建立理论模型，为健康信息搜寻获取提供新的思路和方法。[方法/过程]选取有过相关经历的18位青年学生和18位中年人士作为对象展开访谈，采用质性研究方法对访谈文本数据进行分析。[结果/结论]主要结论有4点：(1)健康信息替代搜寻行为可以细分为3种类型；(2)替代搜寻行为过程可划分为6个阶段：触发启动—搜寻执行—加工整合—沟通交流—采纳影响—后续搜寻；(3)替代搜寻者与被替代者的连接交互是健康信息替代搜寻行为过程的独特活动，同时该行为存在明显的代际差异与个体差异；(4)构建出了健康信息替代搜寻行为模型。      
4     Journal Article                     张登敏;乔冬梅;王亚丹;陆红飞;王朝明;邢永强;                                                                 中国农业科学院农田灌溉研究所;中国农业科学院研究生院;江苏农林职业技术学院;河南省地质局地质灾害防治中心;河南省国土空间调查规划院;                                             基于科学知识图谱的灌溉条件下土壤重金属研究               节水灌溉                                                灌溉;土壤重金属;科学知识图谱;可视化;VOSviewer;Scimago Graphica                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             系统梳理了灌溉条件下土壤重金属研究的热点问题和特征以及探索了该领域发展趋势以期为后续的研究提供参考。利用COOC13.4和VOSviewer等科学知识图谱工具，以中国知网（CNKI）数据库和Web of Science核心合集数据库（WOS）为数据检索源，对灌溉条件下土壤重金属领域的相关文献进行可视化分析。①英文文献数量比中文明显要多并且二者都呈逐年增加的趋势。我国在该领域研究中占据主导地位（发文量占比最多，达20.15%）。②中文核心期刊主要有《农业环境科学学报》等，英文核心期刊主要有《Environmental Science and Pollution Research》等。③国内本领域研究有明显的团队，团队之间联系较为松散。国外各机构作者国家之间合作频繁。④中文文献中Cd污染、非常规水灌溉、污灌区土壤、源解析、土壤修复依然是大家关注的热点问题。国外开始向更微观层级研究，而中国更倾向于生态环境友好型、废弃物利用和综合种养模式发展。目前环境污染和水资源缺乏的形势依旧严峻，灌溉条件下土壤重金属的研究仍然是当今国内外的研究热点并且未来还会向微观层面、纳米层级等方向将生态友好、废弃物利用和综合种养模式相结合深入发展研究。      
5     Journal Article      张向阳;杜思铭;吴飞飞;王佳;赵曼;邢航;张并戌;陈仕红;蒋悦;吴涛;袁天峰;                                                                                                   空军特色医学中心期刊编辑部;空军军医大学教研保障中心学报编辑部;               Aerospace Medicine and Human Performance更名前后对比分析及启示           空军军医大学学报  Aerospace Medicine and Human Performance;《空军航空医学》;《空军军医大学学报》;期刊更名;航空航天医学;科技期刊;CiteSpace;比较研究  目的 研究AerospaceMedicineandHumanPerformance更名前后的主要报道方向、国别、发文机构的变化情况等，以期为国内同行提供参考。方法主要利用CiteSpace的共词网络功能来对期刊报道方向、发刊国别、发文机构等变化进行分析。数据来自WebofScience核心合集的SCI拓展版，以期刊名“AviationSpaceandEnvironmentalMedicine”检索，时间跨度为1991年1月1日至2014年12月31日，剔除征稿启事、会议通知等非学术文献。导入NoteExpress软件进行去重，共有4830篇文章。该刊于2015年更名为“AerospaceMedicineandHumanPerformance”，检索策略为：时间跨度为2015年1月1日至2023年6月13日，数据清洗方法同上，共检索到1076篇文章。结果①主要发文机构：更名前主要供稿机构为美国空军（160篇）、美国国防部（93篇）和美国宇航局（NASA，77篇）；更名后主要供稿机构未发生变化，但发文数量均较更名前减少，美国空军共供稿47篇，美国国防部共24篇，NASA共24篇。②主要关键词的对比：更名后主要关键词和飞行、航天相关的连接强度显著增加，而对一般健康问题的关注相对减少，出现了spaceflight、airtravel等直接与飞行行为相关的内容。③主要国别：美国发文2411篇（49.91%）、加拿大发文314篇（6.50%）、英国发文279篇（5.77%）、法国发文167篇（3.45%）、德国发文160篇（3.31%）；更名后美国发文501篇（46.56%）、英国发文98篇（9.10%）、中国发文54篇（5.01%）、加拿大发文53篇（4.92%）、法国发文42篇（3.90%）。④年均发文量：根据检索结果，改版前共24年，年均发文201篇；改版后从2015年至本文检索截止时间共8.5年，年均发文127篇，年均报道量下降较多。⑤影响因子：截止2014年更名前共发文164篇，影响因子1.0051（含自引）；2016年是该刊更名有影响因子等统计数据的第一年，共发文132篇，影响因子0.8250；2022年发文109篇，影响因子1.0001（含自引）。综合考量发文量和影响因子，该刊的综合影响力更名后并无显著提升。结论 该刊在更名后，对于飞行环境的影响报道有所减少，主要讨论范围从之前的所有飞行类型聚焦为以太空飞行为主，关于飞行行为对人体健康的影响和绩效表现的报道大幅增长，同时也增加了关于飞行装备对飞行安全影响的讨论。随着航空航天技术的进步和航空装备的发展，更深入地探讨航空活动中环境因素对人体长时间复合作用的影响是必然。在该刊更名后，我国的发文数量排名第三，也在一定程度上说明存在高质量原创性成果外流的情况。我国期刊在坚持刊物原有特色的前提下，根据领域研究的发展，与时俱进，探索可持续发展的办刊模式；要进一步明确期刊定位与服务对象，以国家重大需求为导向，聚焦航空航天领域前沿、热点，适时调整栏目设置，提升期刊的学术质量和学科影响力，打造高质量的学术交流平台。      
6     Journal Article                                       张晶;李娜;                                                                                                                  中国科学院西北生态环境资源研究院;                                             文献计量视域下黄河流域水土流失研究进展分析               科学观察                                                                     黄河流域;水土流失;高质量发展;文献计量;知识图谱                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [目的/意义] 揭示黄河流域水土流失问题的研究现状和研究热点，明确当前在黄河流域水土流失研究领域的优势和不足，科学描述未来研究重点及总体布局，最终为黄河流域生态保护和高质量发展提供决策参考。[方法/过程] 在阅读大量文献的基础上，辅以科学知识图谱工具，对WOS和CNKI数据库收录的2000－2022年黄河流域水土流失相关文献进行了研究分析。[结果/结论] (1) 英文文献年度发文量呈攀升状态，中文文献年度发文量呈波动式平稳状态；(2) 中国科学院水利部水土保持研究所、西北农林科技大学、中国海洋大学和水利部黄河水利委员会是黄河流域水土流失问题研究的中坚研究机构，穆兴民、高鹏和冉大川是该领域最具影响力的作者；(3) 关键词聚类分析表明WOS数据库中的研究主题分别为黄河流域生态环境问题现状、诱因及治理对策研究和黄河流域第四纪地质环境演变及其黄河发育演化规律研究，CNKI数据库中的研究主题分别为黄河流域生态保护和高质量发展策略、黄河流域水土流失预防和治理措施、黄河流域生态建设工程及可持续发展和黄河流域水旱灾害风险监测和评估体系研究。未来黄河流域水土流失研究重点应集中在提升生态系统质量和稳定性、建立完善水沙调控体系、部署重点区域生态工程和构建具有预报、预警、预演、预案功能的“数字孪生黄河”智慧水利工程系统等方面。      
7     Journal Article                               李慧敏;张钰;李锋;曹永超;                                                                                                     华北水利水电大学工程管理系;华北水利水电大学管理与经济学院;                                          基于CiteSpace的低碳城市研究文献计量分析               人民珠江                                                                       低碳城市;CiteSpace;可视化;文献计量                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         低碳城市被认为是当前城市发展的必然选择，为了系统性分析低碳城市的相关研究现状，对未来低碳研究指出方向，本文通过筛选中国知网与Web of Science数据库中的相关文献，运用文献计量分析，结合知识图谱、文献网络关系分析等从整体上把握低碳城市的研究现状及发展趋势。研究指出：①国内低碳城市研究从2008年逐渐开展，预计随着中国“双碳”战略目标的提出，未来碳达峰、生态城市等可能成为中英文低碳城市的研究热点；②国内外作者、机构合作关系有待加强，交叉学科可能会随着低碳城市研究发展逐渐加强；③重点关键行业的碳达峰时间路径、跨区域碳交易管理机制、碳排放权配额、消除政策影响、碳交易政策绩效评估以及CCUS技术等是低碳城市研究亟需解决的问题。本研究为低碳城市高质量发展的理论研究与设计实践提供依据。      
8     Journal Article                                    刘慧;陆康;夏莹;                                                                                             南京艺术学院人文学院;中国科学院大学南京学院图书馆;南京晓庄学院信息服务部;                                              智慧图书馆职能体系的基本认知及其构建策略              图书馆建设                                                                          智慧图书馆;职能体系;体系构建;建设策略                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     智慧图书馆职能体系是智慧图书馆职能重塑及其整体化建设的产物，构建智慧图书馆职能体系是图书馆适应知识社会发展以及自身事业发展的时代需求。本文基于智慧图书馆职能体系的基本认知和功能定位、层次、结构特征的明晰，探讨智慧图书馆职能体系的构建及其实现策略，论述智慧图书馆职能体系构建的“三三制”内容。智慧图书馆职能体系构建涉及系统、程序、运行等，职能属性有基本属性、社会属性、目标属性等，职能层次分基本职能、具体职能、核心职能等。建构原则即包括系统设计原则、职能重构原则、职能关联原则等，建设策略涉及加强整体化构建、明晰构建方法、推进结构性优化等。      
9     Journal Article                                 李至泓;毕嘉宁;武曦蔼;                                                                                          北京中医药大学东直门医院;北京中医药大学研究生院;中日友好医院中西医结合糖尿病科;                                         三棱研究热点的CiteSpace科学文献可视化分析          中国新药与临床杂志                                                              医学;中国传统;三棱;文献计量学;CiteSpace;数据可视化                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              目的基于知识图谱方法对三棱近10年研究热点及趋势进行可视化分析，为未来该领域的研究提供参考意见。方法选取2012年1月1日至2022年1月1日中国知网（CNKI）中有关三棱的研究，运用CiteSpace软件对纳入研究的样本文献进行分析，并绘制年发文量、作者合作网络、机构合作网络、关键词共现、关键词聚类、关键词突现图谱。结果最终纳入592篇文献，年发文量较为平稳；形成以时海燕、侯睿捷、梁侨丽为代表的团队，各机构间合作较少。频次较高的关键词包括数据挖掘、用药规律、三棱等，共形成10个聚类；研究热点主要集中于妇科及肿瘤等疾病的用药规律、临床研究和相关作用机制；关键词突现分析共得到43个突现词，以数据发掘、临床研究及治疗肿瘤与妇科疾病的研究较多，实验室研究对有效成分的提取及其活性成分作用机制较为重视。结论近年来，三棱的研究热点主要集中在妇科和肿瘤疾病的临床用药总结，并对其抗纤维化机制进行初步探究，未来或将深入探求其抗肿瘤作用靶点，并逐渐延伸至对器官纤维化等难治性疾病的治疗靶点研究及临床用药规律总结。      
10    Journal Article                              马坤坤;朱玲玲;施雨;茆意宏;                                                                                             山东大学新闻传播学院;南京工程学院经济与管理学院;南京农业大学信息管理学院;                                           全过程视角下学术平台智慧阅读功能的用户需求模型              图书馆论坛                                                                          全过程;学术平台建设;智慧阅读;用户需求                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      数字化与智能化背景之下关注学术平台智慧阅读功能的用户需求，以期为构建满足用户阅读全过程多需求的“一站式”智慧阅读平台提供参考。文章聚焦于全过程视角，利用半结构式深度访谈获取学术用户访谈文本数据，使用NVivo12质性分析工具进行数据分析；采用问卷法收集评分表数据，通过均值计算统计阅读过程不同阶段用户对学术平台智慧阅读功能的需求程度。用户对学术平台智慧阅读功能的需求主要表现为优质学术资源需求、阅读认知策略提供与接受指导需求、交互功能需求，且在阅读需求认知、阅读寻求、阅读理解及应用、阅读交流与阅读问题应对阶段对功能的需求表现出差异性。在此基础上，构建全过程视角下学术平台智慧阅读功能的用户需求模型。      
11    Journal Article                                         李国新;                                                                                                        北京大学信息管理系;北京大学国家现代公共文化研究中心;                                                  公共图书馆专业化发展的挑战与变革              图书馆论坛                                                       公共图书馆;专业化发展;中国公共图书馆理论体系;全民阅读;社会化发展;融合发展                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      近年来，伴随公共图书馆快速发展，专业化发展面临挑战：一是公共图书馆中国特色功能定位带来的挑战，二是公共图书馆应用技术进步带来的挑战，三是公共图书馆“行政化”倾向带来的挑战，四是图书馆学科发展转向带来的挑战。顺应时代变迁和事业发展，公共图书馆不能用传统的专业化理念、思维来裁剪新时期、新发展所需，需要构筑以现代公共文化服务为理论基础，以保障人民文化权益、增强人民精神力量为主要社会功能，以推动、引导、服务全民阅读为主要任务的中国特色公共图书馆理论体系、学术体系、学科体系、话语体系；需要构建公共图书馆专业化发展的新理念新能力，主要包括增强推动、引导、服务全民阅读的能力，提升推动公共图书馆社会化发展的能力，强化体现特色的融合发展能力。      
