                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
0                              邵志国;安安;于德湖;韩青                                                                                                                      青岛理工大学管理工程学院;同济大学可持续发展与新型城镇化智库;中国城市科学研究会老旧小区改造专业委员会;青岛理工大学土木工程学院;青岛理工大学建筑与城乡规划学院;              城市发展研究                       老旧小区改造,CiteSpace,可视化分析,知识图谱,研究热点与进展      Journal Article                                            基于CiteSpace的老旧小区改造研究文献计量分析与展望  2021
1                             曾燕;杨雅婷;徐凤敏;张成毅                                                                                                                                                                                中山大学岭南学院;西安交通大学经济与金融学院;           系统工程理论与实践                                   消费金融,文献计量,文本挖掘,数字技术,双循环      Journal Article                                                                 消费金融研究综述  2022
2                                  李北伟;宗信;李阳                                                                                                                                                               吉林大学管理学院;吉林大学中国科技政策与科技管理研究中心;国防科技大学文理学院;             科技进步与对策                                 数字化转型,产业政策,创新创业,文献计量,研究路径      Journal Article                                                    产业视角下国内外数字化转型研究：综述及展望  2022
3                     万欣;郑亚平;江小敏;苏鹏程;胡磊闯;袁竞峰                                                                                                                                                         河海大学商学院;华南理工大学土木与交通学院;中国长江三峡集团有限公司;东南大学土木工程学院;           铁道科学与工程学报                          工程项目,风险管理,研究热点和趋势,文献计量,CiteSpace      Journal Article                                        工程项目风险管理研究热点及趋势——基于CiteSpace的计量研究  2021
4                                    李刚磊;邵云飞                                                                                                                                                                                         电子科技大学经济与管理学院;                技术经济                             混合所有制改革,企业创新,国有企业改革,文献计量,研究展望      Journal Article                                                混合所有制改革如何影响企业创新？研究述评及未来展望  2021
5                                 张洪;鲁耀斌;张凤娇                                                                                                                                                                                 武汉科技大学管理学院;华中科技大学管理学院;                科研管理                                       价值共创,文献计量,研究视角,知识体系      Journal Article                                                   价值共创研究述评：文献计量分析及知识体系构建  2021
6                                  张琳;席酉民;杨敏                                                                                                                                                            西北工业大学公共政策与管理学院;西安交通大学管理学院;西交利物浦大学领导与教育前沿院;                经济管理                                资源基础理论,阶段划分,热点演化,理论前沿,文献计量      Journal Article                                                    资源基础理论60年：国外研究脉络与热点演变  2021
7                   黄琴峰;谢晨;吴焕淦;杨光;刘婕;郭潇聪;马晓芃                                                                                                                                                                                            上海市针灸经络研究所;                中国针灸                                        针灸疗法,疾病谱,适宜病症,文献计量      Journal Article                                                       基于文献计量的针灸病谱与适宜病症研究  2021
8                                      王文;王纾                                                                                                                                                                        山东师范大学教育学部;中国教育科学研究院职业与继续教育研究所;                教育研究                                  学习投入,研究热点,知识基础,发展趋势,文献计量      Journal Article                                             学习投入研究的知识图景及趋势——基于科学引文数据库的分析  2021
9                                     张曼;蔡春凤                                                                                                                                                                                              武汉大学健康学院;             解放军护理杂志                                     护理缺失,文献计量,可视化,热点,护理管理      Journal Article                                             基于CiteSpace的护理缺失相关研究热点的可视化分析  2021
10                    温忠麟;方杰;沈嘉琦;谭倚天;李定欣;马益铭                                                                                                                                                                     华南师范大学心理学院/心理应用研究中心;广东财经大学人文与传播学院;              心理科学进展                                            心理统计,文献计量,内容分析      Journal Article                                                       新世纪20年国内心理统计方法研究回顾  2021
